,Vehicle Id,Entry Time,Exit Time,Time diff,Velocity,direction
0,4,1.6666666666666665,2.6666666666666665,1.0,108.0,Towards
1,3,1.3333333333333335,2.7666666666666666,1.4333333333333331,75.34883720930233,Towards
2,9,2.6666666666666665,3.6666666666666665,1.0,108.0,Towards
3,10,2.6666666666666665,3.6666666666666665,1.0,108.0,Towards
4,41,6.333333333333333,7.333333333333333,1.0,108.0,Towards
5,42,7.0,8.0,1.0,108.0,Towards
6,43,8.0,9.0,1.0,108.0,Towards
7,53,10.333333333333334,11.333333333333334,1.0,108.0,Towards
8,97,18.0,19.0,1.0,108.0,Towards
9,98,18.0,19.0,1.0,108.0,Towards
10,103,18.333333333333332,19.7,1.3666666666666671,79.02439024390242,Towards
11,114,19.0,20.0,1.0,108.0,Towards
12,117,19.333333333333332,20.333333333333332,1.0,108.0,Towards
13,118,19.333333333333332,20.333333333333332,1.0,108.0,Towards
